epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72968.3,0.90857,1.35017,1.21387,0.52356,0.76032,0.35495,0.29203,0.71901,1.03467,1.17349,0.00333289,0.00333289,0.00333289
2,91071.6,0.90261,1.32439,1.20805,0.52649,0.76625,0.35592,0.29391,0.71459,1.01267,1.17029,0.00622625,0.00622625,0.00622625
3,109298,0.94268,1.36078,1.23551,0.52684,0.76558,0.37059,0.3069,0.71439,1.00876,1.16608,0.00867962,0.00867962,0.00867962
4,127631,0.95222,1.36628,1.24449,0.52752,0.76865,0.35093,0.28986,0.70384,1.0057,1.15509,0.00802,0.00802,0.00802
5,145864,0.91948,1.33455,1.22166,0.52781,0.77269,0.36518,0.30406,0.69197,0.99385,1.14767,0.00736,0.00736,0.00736
6,163701,0.77702,1.11884,1.18069,0.5288,0.77522,0.3693,0.30758,0.68793,0.98485,1.14352,0.0067,0.0067,0.0067
7,181923,0.75504,1.10001,1.16318,0.5287,0.77797,0.3684,0.30764,0.68435,0.98056,1.14052,0.00604,0.00604,0.00604
8,200560,0.73518,1.0864,1.14523,0.52916,0.7787,0.37876,0.31656,0.68104,0.97565,1.13782,0.00538,0.00538,0.00538
9,219268,0.71858,1.07185,1.13071,0.52922,0.78005,0.37719,0.3156,0.67902,0.97297,1.13597,0.00472,0.00472,0.00472
10,238071,0.70175,1.0602,1.11686,0.52928,0.78035,0.37539,0.31443,0.67745,0.97058,1.13457,0.00406,0.00406,0.00406
11,256158,0.68676,1.04986,1.10516,0.52932,0.78115,0.37713,0.31615,0.67506,0.96737,1.13167,0.0034,0.0034,0.0034
